Name,Property_Type,Bedrooms1,Baths,Balcony,City,Location,total_sqft,Price_per_SQFT,Price
DAC Prapthi,Flat,3,3,No,Chennai,"Kasthuribai Nagar, West Tambaram,Chennai",1320,7580,10000000
DRA 90 Degrees,Flat,3,3,No,Chennai,"Rose Avenue, Pallikaranai,Chennai",1444,9000,13000000
CasaGrand Vistaaz,Villa,3,3,No,Chennai,"Kolapakkam - Vandalur, Chennai",1566,6900,10800000
Vasantham,Flat,3,3,Yes,Chennai,"Maruthi Nagar, Sembakkam,Chennai",1712,6720,11500000
Golden Jubilee Flats,Flat,3,3,Yes,Chennai,"Thirumangalam, Anna Nagar West,Chennai",1100,9090,10000000
Prestige Bella Vista,Flat,3,3,Yes,Chennai,"Iyyappanthangal, Chennai",1791,7260,13000000
BSR Nerkundram,Independent House,4,3,No,Chennai,"Tirumalai Nagar, Koyambedu,Chennai",1400,8210,11500000
Pacifica Happiness Towers,Flat,4,4,Yes,Chennai,"Padur, Chennai",2232,5600,12500000
Pacifica Aurum Villas,Villa,4,4,Yes,Chennai,"Padur, Chennai",2117,6610,14000000
Prestige Courtyards by Prestige Estates Projects Ltd.,Flat,3,3,Yes,Chennai,"Sholinganallur, Chennai",1689,7820,13200000
Casagrand Arena,Villa,3,3,Yes,Chennai,"Oragadam Ambattur, Chennai",1545,8090,12500000
Pacifica Aurum Villas by Pacifica Companies,Flat,4,4,Yes,Chennai,"Padur, Chennai",2200,6820,15000000
Navins Kaushik,Flat,3,3,Yes,Chennai,"Ramakrishna Puram, West Mambalam,Chennai",1269,12610,16000000
Sudharshan Homes,Flat,2,3,No,Chennai,"Periyar Nagar, Velachery,Chennai",1152,9000,10400000
Krishna Flats,Flat,2,3,No,Chennai,"Natesa Nagar, Virugambakkam,Chennai",1365,8420,11500000
Vijay Raja Classic,Villa,3,3,Yes,Chennai,"Unamancheri, Kolapakkam, Kolapakkam - Vandalur,Chennai",1734,6340,11000000
VGN Coasta,Flat,3,3,No,Chennai,"Muttukadu, Chennai",1540,8440,13000000
Tulip Apartment,Flat,2,3,No,Chennai,"Kamdar Nagar, Nungambakkam,Chennai",1150,11740,13500000
Man Pearl Reside,Flat,3,3,Yes,Chennai,"Thiruvenkatapuram, Choolaimedu,Chennai",1260,8730,11000000
Jain West Minster,Flat,3,3,Yes,Chennai,"Pushpa Colony, Saligramam,Chennai",1385,10830,15000000
 Jadhav Jain Atisaya,Flat,2,3,No,Chennai,"Trustpuram, Kodambakkam,Chennai",1120,10710,12000000
VGN LA PARISIENNE ,Flat,3,3,Yes,Chennai,"Nolambur, Ambattur Industrial Estate,Chennai",1309,8400,11000000
Mahalakshmi Apartments,Flat,3,3,No,Chennai,"Rajaji Nagar Extention, Madipakkam,Chennai",1149,10880,12500000
Sri Rama Nivas,Flat,3,3,Yes,Chennai,"Reddi Kuppam, West Mambalam,Chennai",1225,10610,13000000
Appaswamy Arcot Terrace,Flat,2,3,No,Chennai,"Somasundara Bharathi Nagar, Vadapalani,Chennai",1231,13000,16000000
Radiance Icon,Flat,2,3,No,Chennai,"Nerkundram, Koyambedu,Chennai",1002,11980,12000000
Purva Windermere,Flat,3,4,Yes,Chennai,"Pallikaranai, Chennai",2160,6480,14000000
Nakar Navkar Residency by Nakar Homes,Flat,3,3,Yes,Chennai,"Korukkupet, Washermanpet,Chennai",1750,7260,12700000
Altis Oceanique,Flat,3,3,Yes,Chennai,"Muttukadu, Chennai",1785,8960,16000000
Radiance Empire,Flat,3,3,Yes,Chennai,"Vyasarnagar Colony, Vyasarpadi,Chennai",1405,11390,16000000
ARRR's Pavithram,Flat,3,3,No,Chennai,"Kulattur, Chennai",1465,7850,11500000
SIS Meridian by South India Shelters ,Flat,3,3,No,Chennai,"Velachery, Chennai",1300,10000,13000000
Casagrand ECR 14,Flat,3,3,Yes,Chennai,"Kanathur Reddikuppam, Chennai",1821,6700,12200000
Arihant Panache,Flat,3,3,No,Chennai,"Arumbakkam, Chennai",1564,9590,15000000
Rams Mahalingapuram Apartment,Flat,2,3,No,Chennai,"Mahalingapuram, Nungambakkam,Chennai",1100,13180,14500000
Arun Villa Juhu Beach,Flat,2,3,Yes,Chennai,"Uthandi, Chennai",1748,5720,10000000
Arihant Garuda,Flat,4,3,Yes,Chennai,"Venkatesapuram Colony, Ayanavaram,Chennai",1650,9700,16000000
Nataraja Nilayam,Flat,3,3,Yes,Chennai,"Parthasarathy Puram, T Nagar,Chennai",1550,6450,10000000
Casagrand Bellissimo,Flat,2,3,Yes,Chennai,"Kannan Colony, Pazhavanthangal,Chennai",1282,10530,13500000
Hiranandani Emerald,Flat,3,4,Yes,Chennai,"Hirco Palace Gardens, Chennai",2256,4650,10500000
Vijay Sri Jayendra Apartment by Vijay Shanthi Builders,Villa,3,3,Yes,Chennai,"Ponmar, Chennai",1800,6670,12000000
Hiranandani Parks Apartment,Flat,4,4,Yes,Chennai,"Oragadam Sriperambattur, Chennai",2350,4890,11500000
City Square NRI Center City,Flat,2,3,No,Chennai,"NRI Center City, Chennai",900,13330,12000000
VGN Coasta,Flat,3,3,Yes,Chennai,"Muttukadu, Chennai",1650,7700,12700000
Hiranandani Parks Apartment,Flat,4,4,Yes,Chennai,"Oragadam Sriperambattur, Chennai",2289,4370,10000000
JHL Chengalpet,Independent House,1,3,Yes,Chennai,"Chengalpattu, Chennai",1500,7330,11000000
Casagrand Pavilion,Independent House,4,4,Yes,Chennai,"Semmancheri, Chennai",2400,6250,15000000
Landster Water Front,Villa,3,4,Yes,Chennai,"Muttukadu, Chennai",2290,5680,13000000
Casa Grand Asta 1,Flat,4,4,Yes,Chennai,"Karukku, Korattur,Chennai",2096,7160,15000000
North Town,Flat,3,3,Yes,Chennai,"Binny Garden, Jamalia,Chennai",1363,10270,14000000
Sagas Vaibhav Enclave,Flat,3,3,No,Chennai,"Injambakkam, Chennai",1378,8710,12000000
Shriram Blue,Flat,3,3,Yes,Bangalore,"Sonnenahalli Colony, Krishnarajapura,Bangalore",1650,8180,13500000
Nitesh Central Park,Flat,3,3,Yes,Bangalore,"Prakruthi Nagar, Kogilu,Bangalore",1558,7060,11000000
Hiranandani Calgary,Flat,2,3,Yes,Bangalore,"Chikkasanne, Bangalore",1440,9170,13200000
Celebrity Natures Habitat,Villa,3,2,Yes,Bangalore,"BEML Cooperative Society Layout, Byalahalli,Bangalore",2000,6500,13000000
Prestige Bagmane Temple Bells,Flat,3,3,Yes,Bangalore,"5th Stage, RR Nagar,Bangalore",1600,8750,14000000
